787D	8C4F
787E	8C54
7921	8C57
7922	8C69
7923	8C6D
7924	8C73
7925	27CB8
7926	8C93
7927	8C92
7928	8C99
7929	4764
792A	8C9B
792B	8CA4
792C	8CD6
792D	8CD5
792E	8CD9
792F	27DA0
7930	8CF0
7931	8CF1
7932	27E10
7933	8D09
7934	8D0E
7935	8D6C
7936	8D84
7937	8D95
7938	8DA6
7939	27FB7
793A	8DC6
793B	8DC8
793C	8DD9
793D	8DEC
793E	8E0C
793F	47FD
7940	8DFD
7941	8E06
7942	2808A
7943	8E14
7944	8E16
7945	8E21
7946	8E22
7947	8E27
7948	280BB
7949	4816
794A	8E36
794B	8E39
794C	8E4B
794D	8E54
794E	8E62
794F	8E6C
7950	8E6D
7951	8E6F
7952	8E98
7953	8E9E
